,rh,datetime
21339,80.3,2023-10-19 00:11:19
21340,80.2,2023-10-19 00:11:21
21341,80.3,2023-10-19 00:11:23
21342,80.2,2023-10-19 00:11:25
21343,80.3,2023-10-19 00:11:27
21344,80.3,2023-10-19 00:11:29
21345,80.2,2023-10-19 00:11:31
21346,80.2,2023-10-19 00:11:33
21347,80.2,2023-10-19 00:11:35
21348,80.2,2023-10-19 00:11:37
21349,80.0,2023-10-19 00:11:44
21350,80.2,2023-10-19 00:11:45
21351,80.2,2023-10-19 00:11:47
21352,80.2,2023-10-19 00:11:49
21353,80.0,2023-10-19 00:11:51
21354,80.1,2023-10-19 00:11:53
21355,80.1,2023-10-19 00:11:55
21356,80.1,2023-10-19 00:11:57
21357,80.2,2023-10-19 00:11:59
21358,80.0,2023-10-19 00:12:01
21359,80.0,2023-10-19 00:12:03
21360,80.1,2023-10-19 00:12:05
21361,80.1,2023-10-19 00:12:07
21362,80.1,2023-10-19 00:12:14
21363,80.1,2023-10-19 00:12:15
21364,80.1,2023-10-19 00:12:17
21365,80.1,2023-10-19 00:12:19
21366,79.9,2023-10-19 00:12:21
21367,79.9,2023-10-19 00:12:23
21368,80.0,2023-10-19 00:12:25
21369,80.0,2023-10-19 00:12:27
21370,80.0,2023-10-19 00:12:29
21371,80.0,2023-10-19 00:12:31
21372,80.0,2023-10-19 00:12:33
21373,80.0,2023-10-19 00:12:35
21374,80.0,2023-10-19 00:12:37
21375,79.8,2023-10-19 00:12:44
21376,79.8,2023-10-19 00:12:46
21377,80.0,2023-10-19 00:12:47
21378,79.9,2023-10-19 00:12:49
21379,79.8,2023-10-19 00:12:52
21380,79.8,2023-10-19 00:12:54
21381,79.8,2023-10-19 00:12:56
21382,79.8,2023-10-19 00:12:58
21383,79.8,2023-10-19 00:13:00
21384,79.8,2023-10-19 00:13:02
21385,79.7,2023-10-19 00:13:04
21386,79.7,2023-10-19 00:13:06
21387,79.6,2023-10-19 00:13:08
21388,79.7,2023-10-19 00:13:14
21389,79.5,2023-10-19 00:13:16
21390,79.6,2023-10-19 00:13:18
21391,79.6,2023-10-19 00:13:20
21392,79.6,2023-10-19 00:13:22
21393,79.6,2023-10-19 00:13:24
21394,79.6,2023-10-19 00:13:26
21395,79.6,2023-10-19 00:13:28
21396,79.5,2023-10-19 00:13:30
21397,79.5,2023-10-19 00:13:32
21398,79.5,2023-10-19 00:13:34
21399,79.5,2023-10-19 00:13:36
21400,79.5,2023-10-19 00:13:38
21401,79.5,2023-10-19 00:13:44
21402,79.5,2023-10-19 00:13:46
21403,79.5,2023-10-19 00:13:48
21404,79.5,2023-10-19 00:13:50
21405,79.5,2023-10-19 00:13:52
21406,79.5,2023-10-19 00:13:54
21407,79.6,2023-10-19 00:13:56
21408,79.5,2023-10-19 00:13:58
21409,79.5,2023-10-19 00:14:00
21410,79.6,2023-10-19 00:14:02
21411,79.6,2023-10-19 00:14:04
21412,79.5,2023-10-19 00:14:06
21413,79.6,2023-10-19 00:14:08
21414,79.7,2023-10-19 00:14:15
21415,79.5,2023-10-19 00:14:16
21416,79.7,2023-10-19 00:14:18
21417,79.7,2023-10-19 00:14:20
21418,79.7,2023-10-19 00:14:22
21419,79.7,2023-10-19 00:14:24
21420,79.7,2023-10-19 00:14:26
21421,79.7,2023-10-19 00:14:28
21422,79.7,2023-10-19 00:14:30
21423,79.6,2023-10-19 00:14:32
21424,79.7,2023-10-19 00:14:34
21425,79.6,2023-10-19 00:14:36
21426,79.8,2023-10-19 00:14:38
21427,79.6,2023-10-19 00:14:45
21428,79.6,2023-10-19 00:14:46
21429,79.6,2023-10-19 00:14:48
21430,79.7,2023-10-19 00:14:50
21431,79.7,2023-10-19 00:14:52
21432,79.6,2023-10-19 00:14:54
21433,79.6,2023-10-19 00:14:56
21434,79.7,2023-10-19 00:14:58
21435,79.7,2023-10-19 00:15:00
21436,79.8,2023-10-19 00:15:02
21437,79.7,2023-10-19 00:15:04
21438,79.7,2023-10-19 00:15:06
21439,79.7,2023-10-19 00:15:08
21440,79.7,2023-10-19 00:15:15
21441,79.8,2023-10-19 00:15:16
21442,79.8,2023-10-19 00:15:18
21443,79.9,2023-10-19 00:15:20
21444,79.8,2023-10-19 00:15:22
21445,79.7,2023-10-19 00:15:24
21446,79.8,2023-10-19 00:15:26
21447,79.7,2023-10-19 00:15:28
21448,79.8,2023-10-19 00:15:30
21449,79.9,2023-10-19 00:15:32
21450,79.8,2023-10-19 00:15:34
21451,79.7,2023-10-19 00:15:36
21452,79.7,2023-10-19 00:15:38
21453,79.7,2023-10-19 00:15:45
21454,79.8,2023-10-19 00:15:46
21455,79.7,2023-10-19 00:15:48
21456,79.7,2023-10-19 00:15:50
21457,79.7,2023-10-19 00:15:52
21458,79.7,2023-10-19 00:15:54
21459,79.6,2023-10-19 00:15:56
21460,79.6,2023-10-19 00:15:58
21461,79.5,2023-10-19 00:16:00
21462,79.6,2023-10-19 00:16:02
21463,79.6,2023-10-19 00:16:04
21464,79.6,2023-10-19 00:16:06
21465,79.5,2023-10-19 00:16:08
21466,79.6,2023-10-19 00:16:15
21467,79.5,2023-10-19 00:16:16
21468,79.6,2023-10-19 00:16:18
21469,79.6,2023-10-19 00:16:20
21470,79.6,2023-10-19 00:16:22
21471,79.6,2023-10-19 00:16:24
21472,79.6,2023-10-19 00:16:26
21473,79.6,2023-10-19 00:16:28
21474,79.6,2023-10-19 00:16:30
21475,79.6,2023-10-19 00:16:32
21476,79.6,2023-10-19 00:16:34
21477,79.7,2023-10-19 00:16:37
21478,79.6,2023-10-19 00:16:38
21479,79.7,2023-10-19 00:16:45
21480,79.7,2023-10-19 00:16:46
21481,79.6,2023-10-19 00:16:48
21482,79.7,2023-10-19 00:16:50
21483,79.6,2023-10-19 00:16:52
21484,79.7,2023-10-19 00:16:54
21485,79.8,2023-10-19 00:16:56
21486,79.8,2023-10-19 00:16:58
21487,79.8,2023-10-19 00:17:01
21488,79.8,2023-10-19 00:17:03
21489,79.7,2023-10-19 00:17:05
21490,79.7,2023-10-19 00:17:07
21491,79.7,2023-10-19 00:17:09
21492,79.7,2023-10-19 00:17:15
21493,79.7,2023-10-19 00:17:17
21494,79.8,2023-10-19 00:17:19
21495,79.8,2023-10-19 00:17:21
21496,79.8,2023-10-19 00:17:23
21497,79.7,2023-10-19 00:17:25
21498,79.8,2023-10-19 00:17:27
21499,79.8,2023-10-19 00:17:29
21500,79.7,2023-10-19 00:17:31
21501,79.7,2023-10-19 00:17:33
21502,79.8,2023-10-19 00:17:35
21503,79.8,2023-10-19 00:17:37
21504,79.8,2023-10-19 00:17:39
21505,79.9,2023-10-19 00:17:45
21506,79.8,2023-10-19 00:17:47
21507,79.8,2023-10-19 00:17:53
21508,79.8,2023-10-19 00:17:53
21509,79.9,2023-10-19 00:17:53
21510,79.9,2023-10-19 00:17:55
21511,79.9,2023-10-19 00:17:57
21512,79.9,2023-10-19 00:17:59
21513,79.9,2023-10-19 00:18:01
21514,79.9,2023-10-19 00:18:03
21515,80.0,2023-10-19 00:18:05
21516,80.1,2023-10-19 00:18:07
21517,80.0,2023-10-19 00:18:09
21518,80.0,2023-10-19 00:18:16
21519,80.1,2023-10-19 00:18:17
21520,80.1,2023-10-19 00:18:19
21521,80.0,2023-10-19 00:18:21
21522,80.1,2023-10-19 00:18:23
21523,80.0,2023-10-19 00:18:25
21524,80.2,2023-10-19 00:18:27
21525,80.0,2023-10-19 00:18:29
21526,80.1,2023-10-19 00:18:31
21527,80.1,2023-10-19 00:18:33
21528,80.1,2023-10-19 00:18:35
21529,80.0,2023-10-19 00:18:37
21530,80.1,2023-10-19 00:18:39
21531,80.0,2023-10-19 00:18:46
21532,80.2,2023-10-19 00:18:47
21533,80.1,2023-10-19 00:18:49
21534,80.1,2023-10-19 00:18:51
21535,80.1,2023-10-19 00:18:53
21536,80.2,2023-10-19 00:18:55
21537,80.2,2023-10-19 00:18:57
21538,80.2,2023-10-19 00:18:59
21539,80.0,2023-10-19 00:19:01
21540,80.2,2023-10-19 00:19:03
21541,80.0,2023-10-19 00:19:05
21542,80.1,2023-10-19 00:19:07
21543,80.0,2023-10-19 00:19:09
21544,80.1,2023-10-19 00:19:16
21545,80.0,2023-10-19 00:19:17
21546,80.1,2023-10-19 00:19:19
21547,80.0,2023-10-19 00:19:21
21548,80.1,2023-10-19 00:19:23
21549,80.1,2023-10-19 00:19:25
21550,80.2,2023-10-19 00:19:27
21551,80.1,2023-10-19 00:19:29
21552,80.0,2023-10-19 00:19:31
21553,80.1,2023-10-19 00:19:33
21554,80.0,2023-10-19 00:19:35
21555,80.1,2023-10-19 00:19:37
21556,80.0,2023-10-19 00:19:39
21557,80.1,2023-10-19 00:19:46
21558,80.1,2023-10-19 00:19:47
21559,80.0,2023-10-19 00:19:49
21560,80.1,2023-10-19 00:19:51
21561,80.0,2023-10-19 00:19:53
21562,80.1,2023-10-19 00:19:55
21563,80.0,2023-10-19 00:19:57
21564,80.1,2023-10-19 00:19:59
21565,80.0,2023-10-19 00:20:01
21566,80.0,2023-10-19 00:20:03
21567,80.0,2023-10-19 00:20:05
21568,80.0,2023-10-19 00:20:07
21569,79.9,2023-10-19 00:20:09
21570,79.9,2023-10-19 00:20:16
21571,80.0,2023-10-19 00:20:17
21572,80.0,2023-10-19 00:20:19
21573,79.9,2023-10-19 00:20:21
21574,79.9,2023-10-19 00:20:23
21575,80.0,2023-10-19 00:20:25
21576,80.0,2023-10-19 00:20:27
21577,79.9,2023-10-19 00:20:29
21578,80.0,2023-10-19 00:20:31
21579,80.0,2023-10-19 00:20:33
21580,80.0,2023-10-19 00:20:35
21581,79.9,2023-10-19 00:20:37
21582,79.9,2023-10-19 00:20:39
21583,79.9,2023-10-19 00:20:46
21584,79.9,2023-10-19 00:20:47
21585,79.9,2023-10-19 00:20:49
21586,79.9,2023-10-19 00:20:51
21587,79.8,2023-10-19 00:20:53
21588,79.9,2023-10-19 00:20:55
21589,79.8,2023-10-19 00:20:57
21590,79.8,2023-10-19 00:20:59
21591,79.8,2023-10-19 00:21:02
21592,79.8,2023-10-19 00:21:03
21593,79.8,2023-10-19 00:21:05
21594,79.9,2023-10-19 00:21:07
21595,79.7,2023-10-19 00:21:10
21596,79.8,2023-10-19 00:21:16
21597,79.8,2023-10-19 00:21:18
21598,79.7,2023-10-19 00:21:20
21599,79.8,2023-10-19 00:21:22
21600,79.8,2023-10-19 00:21:24
21601,79.8,2023-10-19 00:21:26
21602,79.7,2023-10-19 00:21:28
21603,79.6,2023-10-19 00:21:30
21604,79.6,2023-10-19 00:21:32
21605,79.6,2023-10-19 00:21:34
21606,79.7,2023-10-19 00:21:36
21607,79.7,2023-10-19 00:21:38
21608,79.5,2023-10-19 00:21:40
21609,79.6,2023-10-19 00:21:46
21610,79.5,2023-10-19 00:21:48
21611,79.5,2023-10-19 00:21:50
21612,79.5,2023-10-19 00:21:52
21613,79.4,2023-10-19 00:21:54
21614,79.4,2023-10-19 00:21:56
21615,79.4,2023-10-19 00:21:58
21616,79.3,2023-10-19 00:22:00
21617,79.3,2023-10-19 00:22:02
21618,79.3,2023-10-19 00:22:04
21619,79.3,2023-10-19 00:22:06
21620,79.3,2023-10-19 00:22:08
21621,79.3,2023-10-19 00:22:10
21622,79.4,2023-10-19 00:22:17
21623,79.2,2023-10-19 00:22:18
21624,79.2,2023-10-19 00:22:20
21625,79.3,2023-10-19 00:22:22
21626,79.3,2023-10-19 00:22:24
21627,79.3,2023-10-19 00:22:26
21628,79.2,2023-10-19 00:22:28
21629,79.2,2023-10-19 00:22:30
21630,79.3,2023-10-19 00:22:32
21631,79.3,2023-10-19 00:22:34
21632,79.2,2023-10-19 00:22:36
21633,79.2,2023-10-19 00:22:38
21634,79.4,2023-10-19 00:22:40
21635,79.3,2023-10-19 00:22:47
21636,79.3,2023-10-19 00:22:48
21637,79.4,2023-10-19 00:22:53
21638,79.4,2023-10-19 00:22:53
21639,79.3,2023-10-19 00:22:54
21640,79.3,2023-10-19 00:22:56
21641,79.4,2023-10-19 00:22:58
21642,79.3,2023-10-19 00:23:00
21643,79.3,2023-10-19 00:23:02
21644,79.3,2023-10-19 00:23:04
21645,79.4,2023-10-19 00:23:06
21646,79.4,2023-10-19 00:23:08
21647,79.4,2023-10-19 00:23:10
21648,79.5,2023-10-19 00:23:17
21649,79.4,2023-10-19 00:23:18
21650,79.5,2023-10-19 00:23:20
21651,79.4,2023-10-19 00:23:22
21652,79.5,2023-10-19 00:23:24
21653,79.6,2023-10-19 00:23:26
21654,79.5,2023-10-19 00:23:28
21655,79.5,2023-10-19 00:23:30
21656,79.5,2023-10-19 00:23:32
21657,79.6,2023-10-19 00:23:34
21658,79.5,2023-10-19 00:23:36
21659,79.6,2023-10-19 00:23:38
21660,79.6,2023-10-19 00:23:40
21661,79.7,2023-10-19 00:23:47
21662,79.7,2023-10-19 00:23:48
21663,79.7,2023-10-19 00:23:50
21664,79.7,2023-10-19 00:23:52
21665,79.7,2023-10-19 00:23:54
21666,79.8,2023-10-19 00:23:56
21667,79.6,2023-10-19 00:23:58
21668,79.8,2023-10-19 00:24:00
21669,79.6,2023-10-19 00:24:02
21670,79.7,2023-10-19 00:24:04
21671,79.8,2023-10-19 00:24:06
21672,79.7,2023-10-19 00:24:08
21673,79.9,2023-10-19 00:24:10
21674,79.9,2023-10-19 00:24:17
21675,79.9,2023-10-19 00:24:18
21676,79.8,2023-10-19 00:24:20
21677,79.9,2023-10-19 00:24:22
21678,80.0,2023-10-19 00:24:24
21679,80.0,2023-10-19 00:24:26
21680,79.9,2023-10-19 00:24:28
21681,80.0,2023-10-19 00:24:30
21682,80.0,2023-10-19 00:24:32
21683,80.0,2023-10-19 00:24:34
21684,79.9,2023-10-19 00:24:36
21685,80.0,2023-10-19 00:24:38
21686,79.9,2023-10-19 00:24:40
21687,79.9,2023-10-19 00:24:47
21688,80.1,2023-10-19 00:24:48
21689,80.0,2023-10-19 00:24:50
21690,80.0,2023-10-19 00:24:52
21691,80.1,2023-10-19 00:24:54
21692,80.0,2023-10-19 00:24:56
21693,80.1,2023-10-19 00:24:58
21694,80.1,2023-10-19 00:25:00
21695,80.1,2023-10-19 00:25:02
21696,80.2,2023-10-19 00:25:04
21697,80.1,2023-10-19 00:25:06
21698,80.1,2023-10-19 00:25:08
21699,80.2,2023-10-19 00:25:10
21700,80.2,2023-10-19 00:25:17
21701,80.1,2023-10-19 00:25:18
21702,80.1,2023-10-19 00:25:20
21703,80.2,2023-10-19 00:25:22
21704,80.1,2023-10-19 00:25:25
21705,80.1,2023-10-19 00:25:27
21706,80.1,2023-10-19 00:25:29
21707,80.1,2023-10-19 00:25:31
21708,80.2,2023-10-19 00:25:33
21709,80.1,2023-10-19 00:25:35
21710,80.1,2023-10-19 00:25:37
21711,80.1,2023-10-19 00:25:39
21712,80.1,2023-10-19 00:25:41
21713,80.2,2023-10-19 00:25:47
21714,80.2,2023-10-19 00:25:49
21715,80.2,2023-10-19 00:25:51
21716,80.1,2023-10-19 00:25:53
21717,80.0,2023-10-19 00:25:55
21718,80.0,2023-10-19 00:25:57
21719,80.1,2023-10-19 00:25:59
21720,80.1,2023-10-19 00:26:01
21721,80.2,2023-10-19 00:26:03
21722,80.1,2023-10-19 00:26:05
21723,80.1,2023-10-19 00:26:07
21724,80.0,2023-10-19 00:26:09
21725,80.0,2023-10-19 00:26:11
21726,80.1,2023-10-19 00:26:17
21727,80.1,2023-10-19 00:26:19
21728,80.1,2023-10-19 00:26:21
21729,79.9,2023-10-19 00:26:23
21730,79.9,2023-10-19 00:26:25
21731,80.0,2023-10-19 00:26:27
21732,80.0,2023-10-19 00:26:29
21733,80.0,2023-10-19 00:26:31
21734,79.9,2023-10-19 00:26:33
21735,79.9,2023-10-19 00:26:35
21736,80.0,2023-10-19 00:26:37
21737,79.9,2023-10-19 00:26:39
21738,80.0,2023-10-19 00:26:41
21739,79.9,2023-10-19 00:26:48
21740,79.9,2023-10-19 00:26:49
21741,79.9,2023-10-19 00:26:51
21742,80.0,2023-10-19 00:26:53
21743,79.9,2023-10-19 00:26:55
21744,80.0,2023-10-19 00:26:57
21745,80.0,2023-10-19 00:26:59
